chunk_id,insurer_id,document_id,page_start,old_synthetic_type,old_synthetic_method,old_amount_method,needs_synthetic_type,needs_synthetic_method,needs_amount_method,skip_reason
11027,2,29,94,,split_line_v1,v1.6.3_split,True,True,True,
11028,2,29,94,,split_line_v1,v1.6.3_split,True,True,True,
11029,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11030,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11031,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11032,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11033,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11034,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11035,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11036,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11037,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11038,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11039,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11040,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11041,4,31,6,,split_line_v1,v1.6.3_split,True,True,True,
11042,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11043,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11044,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11045,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11046,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11047,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11048,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11049,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11050,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11051,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11052,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11053,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11054,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11055,4,31,8,,split_line_v1,v1.6.3_split,True,True,True,
11056,4,31,10,,split_line_v1,v1.6.3_split,True,True,True,
11057,4,31,10,,split_line_v1,v1.6.3_split,True,True,True,
11058,4,31,10,,split_line_v1,v1.6.3_split,True,True,True,
11059,4,31,10,,split_line_v1,v1.6.3_split,True,True,True,
11060,4,31,10,,split_line_v1,v1.6.3_split,True,True,True,
11061,4,31,10,,split_line_v1,v1.6.3_split,True,True,True,
11062,4,31,11,,split_line_v1,v1.6.3_split,True,True,True,
11063,4,31,11,,split_line_v1,v1.6.3_split,True,True,True,
11064,4,31,11,,split_line_v1,v1.6.3_split,True,True,True,
11065,4,31,13,,split_line_v1,v1.6.3_split,True,True,True,
11066,4,31,13,,split_line_v1,v1.6.3_split,True,True,True,
11067,4,31,13,,split_line_v1,v1.6.3_split,True,True,True,
11068,4,31,13,,split_line_v1,v1.6.3_split,True,True,True,
11069,4,31,13,,split_line_v1,v1.6.3_split,True,True,True,
11070,4,31,14,,split_line_v1,v1.6.3_split,True,True,True,
11071,4,31,14,,split_line_v1,v1.6.3_split,True,True,True,
11072,4,31,14,,split_line_v1,v1.6.3_split,True,True,True,
11073,4,31,14,,split_line_v1,v1.6.3_split,True,True,True,
11074,4,32,3,,split_line_v1,v1.6.3_split,True,True,True,
11075,4,32,4,,split_line_v1,v1.6.3_split,True,True,True,
11076,4,32,15,,split_line_v1,v1.6.3_split,True,True,True,
11077,4,32,16,,split_line_v1,v1.6.3_split,True,True,True,
11078,4,32,52,,split_line_v1,v1.6.3_split,True,True,True,
11079,4,32,52,,split_line_v1,v1.6.3_split,True,True,True,
11080,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11081,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11082,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11083,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11084,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11085,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11086,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11087,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11088,4,33,81,,split_line_v1,v1.6.3_split,True,True,True,
11089,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11090,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11091,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11092,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11093,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11094,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
